head_x,head_y,head_z,JAB,JAC,ABC,BCE,JAD,KDE,NIH,MGF,HIC,FGC,label
80.59 ,-97.53 ,683.83 ,73.91 ,74.48 ,177.20 ,72.95 ,72.95 ,60.72 ,119.52 ,54.13 ,85.11 ,96.07 ,forward
79.26 ,-93.76 ,681.89 ,73.73 ,73.79 ,179.71 ,72.44 ,72.44 ,59.81 ,120.16 ,54.15 ,80.52 ,93.54 ,forward
89.08 ,-80.53 ,687.43 ,73.92 ,73.32 ,177.34 ,71.38 ,71.38 ,56.55 ,116.44 ,55.50 ,88.37 ,96.35 ,forward
93.95 ,-81.75 ,684.08 ,76.92 ,75.55 ,172.61 ,73.67 ,73.67 ,56.56 ,114.60 ,55.93 ,84.51 ,95.54 ,forward
91.60 ,-70.12 ,678.54 ,77.90 ,76.70 ,172.25 ,74.67 ,74.67 ,58.43 ,118.08 ,55.44 ,85.56 ,87.49 ,forward
91.94 ,-70.01 ,678.56 ,77.89 ,76.68 ,172.25 ,74.65 ,74.65 ,59.34 ,124.84 ,56.60 ,80.38 ,92.78 ,forward
97.08 ,-87.84 ,689.34 ,79.01 ,77.97 ,172.34 ,75.94 ,75.94 ,60.57 ,125.87 ,56.28 ,83.90 ,90.73 ,forward
91.30 ,-78.30 ,681.71 ,79.44 ,78.03 ,171.44 ,76.35 ,76.35 ,56.93 ,114.75 ,56.06 ,83.19 ,89.26 ,forward
90.50 ,-76.93 ,682.05 ,79.47 ,78.05 ,171.40 ,76.38 ,76.38 ,61.41 ,127.75 ,52.59 ,89.84 ,93.70 ,forward
75.46 ,-76.21 ,652.12 ,78.20 ,75.31 ,169.91 ,72.95 ,72.95 ,57.74 ,117.91 ,57.22 ,88.37 ,93.53 ,forward
101.18 ,-69.39 ,673.29 ,76.37 ,72.11 ,165.96 ,69.57 ,69.57 ,58.93 ,118.16 ,52.37 ,83.04 ,95.85 ,forward
94.27 ,-71.79 ,665.49 ,76.89 ,72.80 ,166.53 ,70.80 ,70.80 ,59.43 ,119.89 ,51.80 ,85.57 ,90.63 ,forward
101.50 ,-68.08 ,672.31 ,77.04 ,73.23 ,167.25 ,71.00 ,71.00 ,61.05 ,119.87 ,51.93 ,81.06 ,93.84 ,forward
101.58 ,-67.92 ,672.40 ,77.03 ,73.22 ,167.25 ,70.99 ,70.99 ,59.76 ,122.04 ,53.04 ,86.95 ,94.08 ,forward
81.76 ,-72.46 ,674.14 ,79.78 ,77.60 ,170.63 ,75.51 ,75.51 ,56.65 ,119.07 ,58.03 ,89.43 ,93.23 ,forward
82.20 ,-74.52 ,674.10 ,78.65 ,76.36 ,170.15 ,74.43 ,74.43 ,62.21 ,119.05 ,56.10 ,84.40 ,95.76 ,forward
97.75 ,-68.53 ,678.01 ,75.50 ,73.56 ,171.68 ,71.77 ,71.77 ,55.85 ,117.44 ,56.07 ,81.95 ,85.70 ,forward
86.83 ,-65.20 ,649.52 ,74.10 ,73.09 ,174.59 ,72.20 ,72.20 ,58.54 ,127.66 ,54.54 ,85.70 ,89.56 ,forward
89.94 ,-60.41 ,652.43 ,73.72 ,72.69 ,174.43 ,71.41 ,71.41 ,57.69 ,122.43 ,52.75 ,87.14 ,85.98 ,forward
110.75 ,-36.99 ,644.04 ,69.38 ,68.06 ,172.35 ,66.24 ,66.24 ,59.88 ,124.93 ,54.52 ,81.57 ,86.57 ,forward
105.80 ,-38.06 ,643.99 ,70.35 ,69.32 ,172.95 ,67.92 ,67.92 ,55.93 ,114.06 ,57.04 ,87.33 ,91.96 ,forward
98.18 ,-56.69 ,660.78 ,68.84 ,67.61 ,172.02 ,67.12 ,67.12 ,61.64 ,116.00 ,56.37 ,87.02 ,92.87 ,forward
93.62 ,-45.40 ,659.89 ,68.36 ,67.19 ,172.23 ,66.51 ,66.51 ,61.32 ,122.80 ,55.17 ,80.07 ,86.87 ,forward
93.57 ,-45.45 ,659.92 ,68.36 ,67.19 ,172.23 ,66.52 ,66.52 ,58.78 ,126.65 ,55.15 ,84.15 ,94.19 ,forward
95.37 ,-48.39 ,668.32 ,69.71 ,68.65 ,173.09 ,67.82 ,67.82 ,62.10 ,115.36 ,55.64 ,86.89 ,86.75 ,forward
95.57 ,-47.12 ,668.00 ,69.69 ,68.62 ,173.05 ,67.77 ,67.77 ,60.51 ,123.53 ,53.68 ,84.40 ,96.34 ,forward
90.94 ,-50.06 ,669.27 ,70.67 ,69.89 ,174.40 ,69.31 ,69.31 ,61.09 ,114.89 ,55.02 ,85.28 ,87.29 ,forward
88.36 ,-49.19 ,673.52 ,72.08 ,71.29 ,174.01 ,70.30 ,70.30 ,58.85 ,122.30 ,55.78 ,85.24 ,88.21 ,forward
